Name,Month,Year,Sale Amount
Everett,November,2007,2741
Jerry,February,2010,6351
Rudolph,July,2018,4879
Chester,September,2001,2951
Don,January,2007,7819
Bruce,May,2000,1642
Jerome,May,2019,5867
Lewis,May,2013,7485
Curtis,September,2011,7576
Lee,November,2006,6264
Gilbert,August,2009,1310
Claude,July,2019,3312
Chester,August,2009,4972
Roger,August,2014,4121
Martin,October,2016,953
Jerome,October,2012,5114
Willard,May,2015,1604
Curtis,April,2020,7959
Bobby,February,2018,1734
Roger,January,2015,3588
Marion,June,2018,1921
Junior,September,2009,7037
Allen,May,2011,5804
Gilbert,November,2004,5289
Maurice,April,2019,4528
Victor,February,2017,4296
Leslie,May,2000,3492
Douglas,April,2010,7036
Bob,January,2020,4702
Marion,March,2012,6610
Don,August,2018,6204
Benjamin,September,2012,2602
Homer,October,2011,5042
Arnold,October,2005,5276
Roger,May,2006,3977
Marion,February,2007,5516
Everett,September,2005,7808
Manuel,April,2016,5121
Homer,September,2009,6738
Jose,February,2000,5602
Bob,January,2018,7824
Bob,April,2007,2388
Don,November,2009,5013
Lee,July,2013,946
Roland,June,2010,5519
Wilbur,January,2013,4417
Jimmie,January,2000,1338
Don,May,2019,2819
Chester,November,2016,4185
Claude,June,2017,7263
Rudolph,July,2020,3277
Bruce,August,2004,7554
Allen,October,2001,4735
Jose,October,2012,7137
Jesse,June,2017,2762
Virgil,July,2014,7919
Bob,June,2003,1366
Junior,July,2008,4177
Glen,January,2007,4273
Everett,June,2012,4580
Charlie,October,2014,6150
Cecil,June,2017,6270
Maurice,July,2017,4517
Eddie,November,2017,5932
Roger,March,2011,7377
Jimmie,April,2006,675
Chester,November,2010,6812
Roland,July,2000,3710
Jimmie,May,2002,4713
Arnold,June,2017,4155
Wilbur,January,2013,2559
Lewis,April,2011,3460
Don,May,2002,3349
Junior,July,2001,6014
Jerry,September,2008,3424
Virgil,June,2002,5443
Don,October,2000,1705
Milton,March,2015,6558
Harvey,June,2005,5519
Roger,October,2008,7373
Jerome,February,2018,5202
Claude,April,2004,1229
Claude,November,2004,4995
Douglas,June,2008,6243
Arnold,January,2016,1973
Lewis,May,2019,296
Douglas,July,2001,2990
Jesse,April,2015,6881
Claude,February,2014,6882
Manuel,March,2009,5271
Benjamin,February,2001,2220
Wilbur,April,2004,7659
Glen,November,2007,1254
Charlie,April,2013,349
Roger,July,2004,6583
Jerome,August,2007,6727
Jesse,April,2011,885
Victor,April,2007,2261
Oscar,November,2002,6310
Everett,September,2009,6852
Manuel,February,2001,4708
Jerome,August,2010,4229
Chester,August,2008,2652
Jesse,March,2015,5517
Marion,January,2014,2954
Maurice,March,2019,6767
Victor,May,2005,3258
Glen,November,2016,4081
Wallace,January,2001,854
Edgar,January,2017,4126
Willard,May,2018,5900
Douglas,January,2014,5508
Jerome,February,2006,3627
Bob,July,2005,2018
Lee,June,2006,2344
Johnnie,January,2008,7064
Chester,October,2013,1532
Bruce,November,2006,2256
Benjamin,April,2007,2044
Dale,March,2012,6428
Lewis,June,2007,1690
Roland,June,2013,4179
Oscar,November,2010,5983
Wallace,April,2013,2769
Oscar,May,2001,6854
Bruce,September,2001,6196
Maurice,February,2008,3563
Charlie,January,2005,7424
Curtis,June,2005,3367
Benjamin,March,2015,6212
Cecil,April,2005,1543
Marion,June,2015,7989
Claude,February,2009,5436
Homer,September,2015,1247
Maurice,August,2010,5337
Charlie,September,2001,7486
Wallace,May,2012,6630
Jose,October,2011,5892
Martin,July,2013,4723
Lee,January,2009,3968
Jesse,January,2011,232
Allen,July,2012,7062
Homer,September,2011,1750
Roger,August,2003,2309
Manuel,February,2001,1002
Jessie,April,2010,328
Glen,April,2018,6649
Hugh,May,2020,1890
Martin,June,2007,5228
Benjamin,June,2000,7704
Bob,June,2003,1925
Charlie,September,2017,3011
Lewis,February,2008,1752
Edgar,May,2017,722
Jimmie,September,2003,7168
Benjamin,January,2008,1801
Leslie,May,2015,6528
Sam,February,2007,5103
Jesse,September,2019,4039
Milton,April,2009,6154
Johnnie,November,2005,7003
Jimmie,November,2001,7601
Rudolph,February,2003,2040
Virgil,August,2001,2176
Jessie,August,2008,300
Everett,September,2020,7831
Glen,October,2009,5099
Charlie,January,2002,4462
Douglas,February,2008,4907
Sam,May,2004,465
Benjamin,September,2015,5888
Harvey,March,2011,226
Manuel,April,2019,820
Harvey,October,2008,214
Cecil,October,2018,419
Harvey,October,2019,6021
Jose,August,2005,7009
Roland,February,2009,3444
Oscar,February,2012,1244
Allen,November,2012,229
Allen,November,2002,3692
Gene,June,2005,3003
Lee,June,2009,1916
Gene,May,2014,6705
Don,March,2014,307
Dale,January,2007,893
Allen,November,2014,3820
Maurice,January,2018,1890
Victor,May,2017,5193
Edgar,July,2019,6524
Victor,July,2009,6434
Glen,July,2001,1203
Jerry,October,2016,4837
Junior,August,2015,3495
Leslie,October,2019,805
Gilbert,March,2001,3797
Oscar,August,2012,7534
Everett,June,2002,167
Claude,September,2013,3685
Rudolph,October,2015,7253
Harvey,April,2020,7926
Wallace,March,2007,5462
Victor,April,2008,846
Everett,June,2006,4673
Claude,November,2009,6581
Leslie,May,2000,6688
Lee,October,2000,3116
Manuel,August,2012,4486
Leslie,January,2009,4993
Edgar,November,2004,833
Roland,June,2018,240
Johnnie,November,2017,6401
Lee,April,2020,7322
Rudolph,January,2016,2932
Don,August,2008,3088
Cecil,April,2017,2901
Junior,August,2000,7146
Victor,February,2017,2963
Benjamin,April,2005,7407
Eddie,November,2019,3662
Homer,February,2010,859
Leslie,March,2016,3030
Roger,November,2006,6222
Benjamin,February,2005,6962
Curtis,October,2014,4561
Curtis,August,2004,7398
Charlie,October,2018,2428
Johnnie,February,2014,6307
Lewis,June,2013,4759
Rudolph,September,2015,2636
Bob,September,2001,7256
Claude,June,2014,6887
Charlie,October,2011,767
Wallace,February,2000,3374
Homer,January,2008,4364
Glen,January,2008,829
Jose,October,2010,1884
Benjamin,January,2002,7355
Johnnie,April,2007,4197
Claude,March,2011,6276
Bob,May,2019,6147
Jerry,May,2011,6160
Jesse,August,2018,3799
Roger,August,2002,6812
Don,May,2004,5853
Wallace,January,2013,1348
Harvey,September,2016,2841
Leslie,November,2008,3812
Leslie,June,2011,2772
Rudolph,August,2011,4377
Maurice,August,2017,4165
Leslie,August,2001,4691
Sam,June,2019,2450
Rudolph,February,2015,3849
Oscar,May,2020,3079
Jose,June,2005,3184
Arnold,March,2018,5088
Hugh,October,2016,4100
Virgil,March,2000,6554
Gilbert,February,2013,6067
Benjamin,July,2020,5248
Roland,July,2019,2985
Lewis,May,2001,1503
Hugh,February,2005,4208
Jose,May,2007,1636
Bruce,March,2012,441
Roland,March,2002,1149
Martin,January,2015,2586
Manuel,April,2001,4998
Charlie,February,2011,6804
Martin,June,2019,6925
Homer,September,2019,1715
Maurice,November,2014,2640
Edgar,September,2000,2071
Glen,April,2001,7270
Manuel,May,2012,7996
Eddie,July,2013,5725
Maurice,January,2017,1977
Everett,July,2009,3333
Chester,April,2019,4158
Bobby,April,2008,6787
Dale,May,2000,4092
Harvey,November,2007,4237
Roger,September,2019,7126
Everett,August,2016,739
Victor,April,2009,7024
Curtis,March,2003,5404
Jesse,April,2004,3657
Hugh,October,2006,7141
Allen,August,2020,2899
Jose,January,2006,7448
Ronald,September,2007,4248
Ronald,May,2018,6038
Hugh,July,2019,5202
Allen,January,2005,942
Bobby,January,2019,2319
Dale,August,2011,1594
Don,May,2009,7463
Wilbur,June,2006,3610
Junior,February,2014,7966
Homer,November,2016,3312
Martin,November,2006,4995
Douglas,January,2018,6118
Bobby,October,2001,431
Hugh,September,2017,3724
Allen,October,2007,4117
Manuel,May,2007,2865
Dale,January,2004,1824
Leslie,August,2000,3708
Martin,August,2019,2981
Martin,March,2000,6319
Claude,June,2005,5292
Leslie,February,2007,6876
Bob,September,2016,4961
Gilbert,September,2012,201
Claude,August,2001,1055
Gene,October,2019,3913
Benjamin,September,2016,4430
Bob,September,2020,6951
Maurice,November,2000,1473
Allen,March,2006,4745
Arnold,May,2015,1216
Gilbert,April,2002,6105
Jesse,June,2009,6224
Curtis,January,2019,3021
Bruce,May,2014,4899
Lee,August,2003,7782
Homer,February,2010,1775
Gilbert,January,2016,1260
Bruce,June,2000,6363
Jimmie,March,2014,6614
Wallace,August,2007,2040
Gene,April,2018,3111
Dale,July,2018,6589
Gene,March,2019,1504
Jesse,April,2000,6853
Johnnie,July,2008,4602
Hugh,July,2018,793
Eddie,September,2011,1786
Homer,February,2015,720
Chester,July,2019,7982
Bruce,February,2014,6991
Virgil,March,2010,6948
Junior,September,2005,3568
Oscar,November,2000,5605
Jimmie,August,2020,7399
Bruce,June,2005,203
Sam,January,2015,1925
Cecil,March,2013,5153
Chester,August,2019,2572
Junior,May,2018,5846
Lewis,June,2008,2484
Gilbert,January,2014,5374
Douglas,November,2002,1911
Gilbert,April,2015,840
Claude,July,2000,7139
Milton,May,2005,3017
Roland,August,2010,3630
Sam,April,2008,666
Everett,September,2013,5654
Johnnie,November,2003,1549
Marion,March,2012,1901
Cecil,July,2001,2003
Virgil,April,2000,6196
Wallace,June,2000,4127
Gilbert,October,2006,6638
Eddie,October,2018,2297
Milton,September,2000,3923
Lee,June,2016,1059
Gene,March,2018,7873
Harvey,March,2019,6100
Allen,August,2020,7612
Jerome,November,2018,2877
Ronald,July,2016,2801
Cecil,February,2001,658
Bob,April,2004,7412
Allen,February,2007,3488
Oscar,October,2016,1475
Lee,November,2020,6486
Bob,January,2019,4434
Don,October,2001,3308
Gene,November,2010,6271
Harvey,March,2011,3137
Jose,June,2008,6575
Willard,August,2000,6412
Everett,April,2014,7025
Johnnie,May,2019,3742
Jimmie,October,2015,5182
Martin,September,2002,2906
Homer,August,2018,7099
Sam,November,2000,3616
Edgar,May,2012,2870
Glen,August,2000,7348
Roland,August,2014,867
Bobby,August,2002,3847
Chester,October,2007,7331
Don,February,2017,3242
Roland,January,2015,6064
Everett,August,2005,7532
Dale,May,2006,3252
Gene,November,2011,4386
Allen,June,2018,5384
Hugh,April,2017,1592
Don,November,2016,7071
Manuel,February,2009,3883
Roger,May,2011,1075
Benjamin,January,2017,7659
Martin,June,2015,5198
Junior,November,2017,6628
Wilbur,August,2012,4395
Bobby,October,2019,5498
Arnold,February,2020,4139
Manuel,March,2020,7125
Roger,March,2006,1783
Wallace,June,2019,7931
Maurice,May,2005,4231
Sam,April,2002,4146
Jerome,August,2012,3867
Edgar,August,2000,7713
Edgar,November,2011,1006
Jessie,July,2006,7254
Wallace,November,2018,7069
Everett,August,2017,5966
Curtis,August,2009,1790
Virgil,September,2004,3172
Ronald,September,2020,2632
Milton,September,2016,5503
Sam,October,2007,3189
Milton,June,2018,2989
Eddie,March,2016,4125
Allen,September,2017,1142
Jerome,November,2009,5178
Gilbert,October,2020,2380
Junior,May,2011,2429
Bruce,November,2009,3953
Arnold,January,2016,2336
Jose,November,2009,1524
Oscar,July,2018,672
Milton,January,2011,7019
Lee,October,2004,5367
Rudolph,August,2011,7511
Harvey,April,2002,1348
Martin,April,2014,3709
Charlie,July,2002,5928
Maurice,March,2015,1937
Wilbur,November,2005,2593
Benjamin,June,2016,7416
Manuel,June,2010,5866
Don,September,2000,318
Bob,October,2017,6292
Wilbur,September,2012,5464
Jesse,April,2000,5824
Wallace,May,2010,7030
Edgar,July,2009,4428
Don,January,2001,3146
Sam,July,2018,7975
Jessie,September,2015,4054
Jerry,July,2010,1457
Dale,October,2000,5621
Don,March,2013,6961
Lewis,February,2013,1759
Bobby,August,2017,1499
Benjamin,August,2018,7385
Dale,April,2011,1500
Arnold,November,2017,6857
Homer,March,2012,881
Jerome,February,2011,1274
Curtis,October,2005,1524
Wallace,May,2003,4086
Wallace,January,2003,4950
Maurice,September,2018,3708
Marion,October,2015,2405
Harvey,January,2015,4008
Gene,September,2009,2423
Ronald,January,2006,5621
Wilbur,August,2006,3661
Martin,September,2019,1629
Willard,March,2019,2421
Wallace,April,2013,1727
Claude,November,2009,3604
Jerry,May,2008,5993
Don,January,2014,985
Douglas,September,2020,186
Chester,March,2011,1318
Bob,August,2015,6010
Gilbert,March,2003,4855
Claude,September,2013,7517
Chester,April,2003,1954
Edgar,February,2016,3026
Johnnie,November,2001,2490
Victor,May,2014,488
Willard,January,2003,2249
Curtis,August,2006,5723
Douglas,March,2015,4114
Marion,February,2018,7636
Roland,June,2008,7627
Dale,January,2011,7073
Jimmie,October,2014,1545
Hugh,September,2007,486
Charlie,August,2019,565
Gene,May,2015,5806
Douglas,April,2011,166
Arnold,May,2001,1986
Oscar,August,2003,7298
Manuel,November,2006,3796
Homer,June,2014,4118
Glen,September,2010,3419
Maurice,March,2012,1579
Milton,April,2013,3735
Wallace,May,2008,4742
Homer,October,2014,6942
Willard,February,2007,4837
Lee,January,2013,7786
Roland,August,2002,4219
Wilbur,September,2011,5124
Jimmie,April,2001,485
Benjamin,October,2015,2925
Arnold,January,2000,2836
Oscar,March,2003,2234
Marion,September,2018,6733
Edgar,February,2008,4027
Hugh,August,2008,5879
Curtis,November,2006,3971
Everett,July,2002,6228
Johnnie,September,2008,1379
Dale,November,2004,4874
Jose,March,2005,2980
Bob,April,2003,1015
Lee,September,2004,1072
Junior,January,2003,640
Gilbert,April,2000,1491
Chester,April,2016,5228
Cecil,November,2016,2047
Jerome,July,2011,6391
Oscar,April,2008,6382
Jessie,March,2000,2569
Charlie,July,2010,5173
Benjamin,October,2003,300
Jesse,August,2001,7180
Chester,March,2018,1784
Victor,July,2005,3054
Bruce,January,2004,328
Eddie,June,2013,5733
Charlie,January,2019,7981
Jessie,March,2013,4180
Hugh,June,2015,3791
Oscar,November,2010,6901
Arnold,April,2003,7887
Junior,August,2015,7796
Leslie,November,2012,2557
Harvey,April,2018,903
Ronald,August,2019,7344
Bob,November,2011,7653
Arnold,January,2006,7509
Lewis,March,2000,4674
Martin,April,2016,5144
Benjamin,November,2018,2306
Leslie,July,2020,875
Gilbert,October,2019,2108
Manuel,April,2017,656
Manuel,November,2013,3507
Wallace,April,2019,6131
Dale,February,2013,5456
Curtis,November,2020,4244
Douglas,June,2016,7426
Jose,April,2005,6683
Glen,July,2018,1885
Bobby,November,2020,2283
Allen,September,2014,4788
Harvey,March,2005,6742
Jerry,October,2009,2311
Dale,July,2012,189
Eddie,October,2019,1147
Harvey,September,2018,7315
Everett,September,2013,2779
Charlie,April,2006,6268
Eddie,January,2006,4367
Harvey,February,2008,4578
Wilbur,March,2019,2936
Rudolph,May,2008,3913
Jerome,March,2000,1251
Sam,January,2001,592
Willard,May,2019,2217
Curtis,September,2016,4787
Virgil,May,2012,3640
Charlie,November,2007,5198
Roger,May,2004,5182
Leslie,November,2008,5316
Glen,November,2000,5228
Lee,July,2012,5802
Gene,July,2013,1350
Leslie,November,2015,361
Jimmie,October,2011,1294
Sam,September,2004,1189
Bruce,April,2000,1777
Jose,November,2000,7740
Manuel,April,2012,6678
Roland,June,2014,7730
Johnnie,February,2005,4288
Curtis,January,2015,7453
Sam,November,2016,3588
Benjamin,May,2005,576
Douglas,February,2007,7362
Leslie,August,2020,6310
Jerry,April,2005,3194
Homer,September,2006,3475
Junior,August,2008,715
Johnnie,October,2007,2992
Oscar,November,2001,5056
Junior,November,2002,1555
Lewis,July,2018,585
Rudolph,April,2006,4183
Arnold,February,2008,2143
Martin,October,2007,211
Roger,May,2018,5777
Wallace,July,2017,2755
Benjamin,July,2017,3289
Jimmie,May,2015,6751
Hugh,April,2006,5689
Everett,March,2004,166
Martin,April,2020,7046
Ronald,April,2019,6466
Everett,June,2015,3283
Hugh,April,2005,7393
Roger,September,2002,2881
Rudolph,July,2005,6040
Harvey,September,2010,5049
Johnnie,September,2004,202
Chester,August,2020,6870
Gene,June,2020,2414
Rudolph,March,2012,4482
Charlie,July,2019,2041
Johnnie,March,2010,2387
Claude,February,2005,6703
Gilbert,May,2020,337
Gene,April,2020,592
Bobby,September,2004,220
Jessie,August,2018,2107
Jessie,October,2017,158
Rudolph,May,2015,3114
Edgar,July,2017,5830
Arnold,May,2008,2055
Virgil,June,2018,5185
Claude,January,2017,1360
Eddie,October,2020,346
Gilbert,February,2017,4305
Harvey,October,2004,4785
Oscar,November,2008,883
Lee,October,2003,5577
Wilbur,April,2019,3110
Gilbert,August,2003,6182
Charlie,June,2013,1443
Jimmie,June,2015,7381
Cecil,September,2010,6057
Hugh,April,2009,6347
Glen,April,2015,7126
Claude,November,2018,7298
Leslie,March,2019,2518
Victor,October,2014,4483
Martin,August,2003,2404
Everett,June,2016,1447
Douglas,October,2017,5985
Eddie,June,2000,393
Wilbur,April,2017,374
Homer,November,2015,3342
Leslie,April,2004,7485
Charlie,November,2018,2110
Benjamin,September,2005,1344
Sam,July,2019,865
Leslie,February,2007,7057
Jose,January,2019,6275
Manuel,March,2000,553
Johnnie,July,2010,4838
Eddie,September,2000,3307
Claude,July,2011,5056
Marion,November,2008,6190
Don,October,2007,2405
Hugh,October,2002,6010
Marion,October,2004,6846
Bob,March,2010,2139
Roland,July,2013,5187
Ronald,June,2000,4759
Glen,July,2008,3195
Don,October,2015,1519
Charlie,July,2005,3590
Curtis,November,2002,3898
Curtis,April,2000,5873
Eddie,July,2010,476
Bobby,August,2018,3188
Virgil,February,2001,4018
Bobby,November,2009,6937
Benjamin,June,2011,726
Lee,April,2016,1773
Marion,May,2015,2633
Marion,April,2009,7987
Maurice,April,2012,4657
Hugh,August,2003,798
Roland,June,2016,7733
Sam,May,2003,3540
Lewis,September,2014,3748
Homer,July,2020,3036
Bruce,September,2017,4172
Gene,July,2012,7318
Bobby,May,2006,3543
Bob,April,2007,7963
Edgar,June,2016,3222
Edgar,November,2012,2904
Jesse,April,2019,3065
Wallace,February,2018,1163
Maurice,August,2013,4135
Ronald,June,2010,6904
Arnold,November,2007,3914
Wilbur,May,2000,6581
Harvey,June,2012,2684
Wallace,June,2010,551
Benjamin,September,2011,1025
Benjamin,June,2016,150
Roger,June,2018,4968
Roland,September,2001,3081
Rudolph,January,2016,3499
Jerome,September,2007,4598
Bobby,January,2014,4634
Chester,June,2001,6339
Jose,November,2009,4421
Wilbur,January,2017,7909
Bob,October,2004,6021
Everett,March,2020,428
Everett,January,2012,5198
Bob,August,2015,4154
Roland,September,2019,3027
Homer,August,2009,3529
Harvey,February,2014,5735
Harvey,May,2015,6709
Lee,September,2011,3836
Maurice,May,2004,7342
Allen,March,2005,583
Harvey,February,2001,2681
Bobby,October,2003,7493
Bob,April,2016,5056
Hugh,March,2017,6227
Lee,January,2013,5879
Curtis,July,2010,3968
Benjamin,October,2007,4149
Don,November,2019,623
Bobby,August,2012,7013
Rudolph,June,2020,1443
Willard,February,2016,2089
Oscar,April,2001,7803
Milton,March,2011,3410
Junior,August,2001,3634
Wilbur,November,2020,5275
Marion,August,2016,4230
Everett,July,2011,6487
Maurice,June,2010,7657
Arnold,April,2017,4305
Charlie,August,2004,6451
Douglas,September,2007,949
Allen,July,2008,2860
Homer,February,2009,3579
Jerome,May,2019,4335
Ronald,March,2017,434
Sam,November,2002,784
Glen,May,2014,5509
Rudolph,January,2012,500
Lewis,August,2007,5316
Junior,January,2015,4631
Milton,July,2016,1254
Homer,April,2014,1419
Martin,February,2006,6534
Eddie,November,2012,285
Jerome,July,2007,6910
Edgar,May,2002,7569
Chester,September,2006,5331
Bruce,April,2014,1755
Curtis,June,2008,4844
Milton,July,2003,1167
Wilbur,May,2014,1489
Wallace,May,2012,7527
Jose,October,2004,5623
Dale,January,2012,2782
Virgil,April,2000,6136
Martin,October,2012,4563
Glen,August,2014,5352
Rudolph,January,2011,165
Douglas,April,2005,3151
Curtis,January,2010,3002
Claude,January,2017,7706
Arnold,September,2001,7618
Willard,September,2019,3018
Lewis,March,2010,3175
Wilbur,June,2005,6771
Martin,April,2003,2310
Arnold,May,2018,6732
Sam,July,2012,5186
Hugh,March,2007,870
Everett,June,2010,2500
Everett,March,2006,6804
Hugh,November,2020,5472
Bob,August,2005,1944
Sam,April,2004,2699
Johnnie,June,2000,5899
Gene,March,2007,1877
Edgar,October,2019,1790
Glen,July,2003,6760
Everett,September,2005,2581
Everett,February,2012,200
Allen,May,2003,7641
Bruce,August,2013,5128
Chester,November,2018,450
Allen,November,2019,629
Manuel,February,2013,7331
Jimmie,June,2018,397
Curtis,October,2009,4600
Maurice,July,2002,1857
Junior,November,2013,3350
Jose,November,2005,4079
Roger,July,2014,4920
Martin,August,2001,5998
Cecil,October,2015,6517
Victor,November,2003,5114
Claude,May,2001,4364
Victor,January,2014,5410
Don,October,2016,838
Bobby,November,2017,6067
Edgar,October,2008,6250
Martin,September,2013,220
Lee,June,2016,1514
Gene,September,2015,2537
Lee,February,2020,3257
Bobby,July,2011,4774
Homer,January,2018,6382
Benjamin,September,2009,4473
Maurice,March,2004,1519
Douglas,May,2014,7248
Ronald,August,2019,1855
Johnnie,August,2017,5387
Bob,January,2015,3594
Wilbur,October,2003,7083
Martin,January,2018,522
Marion,November,2009,1767
Harvey,November,2007,831
Jesse,June,2013,3789
Bobby,October,2006,5022
Leslie,February,2002,5868
Rudolph,February,2001,2793
Bobby,May,2005,7232
Ronald,April,2011,7187
Harvey,October,2012,2912
Jesse,February,2018,2493
Jerry,March,2010,2913
Don,February,2003,6238
Everett,September,2018,2923
Ronald,September,2018,6892
Milton,March,2009,3571
Ronald,January,2017,2598
Manuel,April,2019,6631
Gilbert,November,2000,3698
Rudolph,July,2008,7138
Wallace,July,2008,2242
Arnold,February,2005,6469
Eddie,February,2010,6894
Roland,February,2000,6472
Wilbur,November,2012,5753
Curtis,July,2003,2940
Benjamin,June,2002,6908
Roland,February,2017,2577
Bob,November,2012,444
Hugh,June,2004,7146
Curtis,September,2012,6518
Lee,January,2003,3167
Leslie,September,2020,1162
Roger,February,2012,3582
Jerome,November,2007,6995
Cecil,March,2006,3480
Johnnie,April,2003,7815
Roland,June,2004,2514
Wallace,September,2000,7495
Johnnie,November,2013,6573
Leslie,July,2011,4113
Harvey,February,2015,665
Hugh,August,2018,175
Lewis,September,2014,2678
Manuel,May,2010,506
Junior,October,2011,3718
Everett,July,2016,632
Allen,March,2018,3951
Jerry,January,2009,7625
Milton,March,2010,3508
Everett,March,2018,4182
Gilbert,February,2000,2975
Johnnie,July,2011,2288
Homer,March,2007,3374
Martin,October,2006,6395
Chester,June,2019,818
Oscar,September,2003,3671
Homer,February,2005,5961
Jimmie,November,2014,6050
Lewis,October,2020,4426
Edgar,January,2015,3291
Gene,April,2007,2191
Roger,October,2016,7599
Marion,August,2001,6258
Allen,July,2010,6765
Milton,February,2015,4410
Roger,August,2000,7742
Claude,January,2010,7995
Don,June,2001,5855
Virgil,June,2014,6911
Lee,September,2013,819
Jerome,August,2007,7313
Eddie,January,2015,2625
Sam,June,2004,2792
Curtis,April,2018,3885
Arnold,October,2010,1381
Roger,May,2008,748
Cecil,June,2005,2592
Eddie,June,2004,903
Milton,January,2009,4264
Oscar,July,2013,3391
Milton,March,2004,5122
Bruce,February,2019,3033
